quarter,fiscal_year,quarter_end_date,company,segment,gov_inr_cr,revenue_inr_cr,adj_ebitda_inr_cr,adj_ebitda_margin_pct_of_gov,mtu_millions,aov_inr,source_tag
Q1FY25,FY25,2024-06-30,Eternal,FoodDelivery,9264,1813,235,2.5,20.3,455,investor_deck
Q2FY25,FY25,2024-09-30,Eternal,FoodDelivery,9690,1913,260,2.7,20.7,468,investor_deck
Q3FY25,FY25,2024-12-31,Eternal,FoodDelivery,9913,2054,285,2.9,20.5,485,investor_deck
Q4FY25,FY25,2025-03-31,Eternal,FoodDelivery,9778,2122,313,3.2,20.6,475,investor_deck
Q1FY26,FY26,2025-06-30,Eternal,FoodDelivery,10588,2261,331,3.1,21.5,492,investor_deck
Q2FY26,FY26,2025-09-30,Eternal,FoodDelivery,11340,2403,376,3.3,22.4,506,investor_deck
Q3FY26,FY26,2025-12-31,Eternal,FoodDelivery,11583,2548,388,3.4,23.1,502,investor_deck
Q4FY26,FY26,2026-03-31,Eternal,FoodDelivery,11990,2737,412,3.4,25.4,472,investor_deck
Q1FY25,FY25,2024-06-30,Swiggy,FoodDelivery,6298,1374,11,0.2,14.0,450,prospectus_deck
Q2FY25,FY25,2024-09-30,Swiggy,FoodDelivery,6798,1498,71,1.0,14.7,462,prospectus_deck
Q3FY25,FY25,2024-12-31,Swiggy,FoodDelivery,7436,1670,159,2.1,15.5,480,investor_deck
Q4FY25,FY25,2025-03-31,Swiggy,FoodDelivery,7347,1718,212,2.9,15.1,486,investor_deck
Q1FY26,FY26,2025-06-30,Swiggy,FoodDelivery,8000,1828,247,3.1,16.2,494,investor_deck
Q2FY26,FY26,2025-09-30,Swiggy,FoodDelivery,8430,1952,266,3.2,17.0,496,investor_deck
Q3FY26,FY26,2025-12-31,Swiggy,FoodDelivery,8650,2014,272,3.1,17.5,494,investor_deck
Q4FY26,FY26,2026-03-31,Swiggy,FoodDelivery,9005,2075,297,3.3,18.3,492,investor_deck
